
=== NEW SESSION STARTED AT 2026-06-19 16:05:43.421815 ===
[WORLD] Dynamic Chunk System Initialized. Pool size: 144
[SLOW DRAW] Total: 1061.46ms | Cull: 1053.34ms | Opaque: 0.00ms | Trans: 6.32ms
[SLOW DRAW] Total: 97.82ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 52.53ms
[SLOW DRAW] Total: 106.59ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 87.99ms
[SLOW DRAW] Total: 28.79ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 27.65ms
[SLOW DRAW] Total: 9.81ms | Cull: 0.14ms | Opaque: 0.00ms | Trans: 4.04ms
[SLOW DRAW] Total: 26.67ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 11.04ms
[SLOW DRAW] Total: 11.21ms | Cull: 0.14ms | Opaque: 0.00ms | Trans: 10.71ms
[SLOW DRAW] Total: 156.92ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 122.78ms
[SLOW DRAW] Total: 4.48ms | Cull: 0.19ms | Opaque: 0.00ms | Trans: 3.73ms
[SLOW DRAW] Total: 9.28ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 8.07ms
[SLOW DRAW] Total: 4.31ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 3.84ms
[SLOW DRAW] Total: 6.41ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 6.14ms
[SLOW DRAW] Total: 11.39ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 11.17ms
[SLOW DRAW] Total: 12.82ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 12.50ms
[SLOW DRAW] Total: 16.19ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 13.33ms
[SLOW DRAW] Total: 12.42ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 11.89ms
[SLOW DRAW] Total: 7.36ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 6.45ms
[SLOW DRAW] Total: 4.53ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.24ms
[SLOW DRAW] Total: 5.96ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 2.09ms
[SLOW DRAW] Total: 29.82ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 17.44ms
[SLOW DRAW] Total: 10.08ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 9.75ms
[SLOW DRAW] Total: 4.38ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 3.68ms
[SLOW DRAW] Total: 20.53ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 16.87ms
[SLOW DRAW] Total: 6.53ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 6.31ms
[SLOW DRAW] Total: 17.10ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 16.63ms
[SLOW DRAW] Total: 4.35ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 3.36ms
[SLOW DRAW] Total: 11.09ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 9.28ms
[SLOW DRAW] Total: 263.40ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 230.67ms
[SLOW DRAW] Total: 4.16ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 3.01ms
[SLOW DRAW] Total: 8.04ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 7.76ms
[SLOW DRAW] Total: 7.14ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 6.18ms
[SLOW DRAW] Total: 209.31ms | Cull: 0.08ms | Opaque: 0.00ms | Trans: 111.08ms
[SLOW DRAW] Total: 172.08ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 137.19ms
[SLOW DRAW] Total: 39.18ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 21.94ms
[SLOW DRAW] Total: 77.41ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 44.22ms
[SLOW DRAW] Total: 5.00ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 3.77ms
[SLOW DRAW] Total: 4.65ms | Cull: 0.04ms | Opaque: 0.00ms | Trans: 4.20ms
[SLOW DRAW] Total: 5.97ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 5.20ms
[SLOW DRAW] Total: 7.75ms | Cull: 0.05ms | Opaque: 0.00ms | Trans: 3.82ms
[SLOW DRAW] Total: 8.11ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 7.24ms
[SLOW DRAW] Total: 42.34ms | Cull: 0.06ms | Opaque: 0.00ms | Trans: 11.70ms
[SLOW DRAW] Total: 6.78ms | Cull: 0.03ms | Opaque: 0.00ms | Trans: 6.24ms
